dataset,methods,communication latency,packet loss,translation error,rotation error,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
50scenes_25m,3-late fusion,0,0,0.5,0,0.374,0.322,0.694,0.146,2.953,0.393,1.163,0.384,0.812,8320,0.306,0.42,16,52,39.5,3139,589,5123,58,72,12.25,16.86
50scenes_25m,3-late fusion,0,0,1,0,0.333,0.258,0.685,0.133,2.973,0.362,1.264,0.414,0.751,8320,0.303,0.433,16,50,56.2,3361,838,4873,86,118,12.75,18.75
50scenes_25m,3-late fusion,0,0,1.5,0,0.322,0.239,0.684,0.129,2.978,0.354,1.296,0.383,0.819,8320,0.31,0.372,15,52,38.3,3148,570,5132,40,57,11.79,18.92
50scenes_25m,3-late fusion,0,0,2,0,0.317,0.23,0.683,0.125,2.972,0.345,1.331,0.382,0.846,8320,0.322,0.369,16,52,32.6,3164,486,5139,17,37,11.48,22.49
50scenes_25m,3-late fusion,0,0,2.5,0,0.315,0.229,0.682,0.126,2.982,0.346,1.332,0.379,0.856,8320,0.324,0.364,16,52,30.4,3152,453,5163,5,27,13.79,20.54
50scenes_25m,3-late fusion,0,0,0,1,0.35,0.319,0.695,0.147,2.965,0.351,1.122,0.312,0.815,8320,0.251,0.323,13,60,31.8,2563,474,5724,33,38,12.26,19.52
50scenes_25m,3-late fusion,0,0,0,2,0.308,0.274,0.688,0.13,2.968,0.298,1.227,0.306,0.748,8320,0.225,0.315,14,62,42.2,2500,629,5775,45,57,12.42,20.14
50scenes_25m,3-late fusion,0,0,0,3,0.295,0.256,0.686,0.12,2.97,0.283,1.302,0.306,0.734,8320,0.222,0.298,14,62,44.8,2511,668,5775,34,43,12.2,18.38
50scenes_25m,3-late fusion,0,0,0,4,0.292,0.251,0.685,0.123,2.968,0.295,1.298,0.296,0.764,8320,0.225,0.279,14,63,38.8,2447,578,5855,18,27,13.71,22.58
50scenes_25m,3-late fusion,0,0,0,5,0.292,0.251,0.684,0.125,2.975,0.293,1.299,0.39,0.582,8320,0.224,0.392,16,53,89.9,3203,1339,5074,43,62,12.78,19.26
50scenes_40m,0-no fusion,0,0,0,0,0.341,0.484,0.119,0.274,3.155,0.363,1.318,0.401,0.808,11438,0.324,0.472,25,84,58.9,4583,878,6846,9,56,8.03,15.25
50scenes_40m,1-early fusion,0,0,0,0,0.503,0.501,0.136,0.26,3.58,0.555,1.057,0.639,0.851,11438,0.541,0.61,43,39,73,7280,1087,4125,33,108,3.37,11.92
50scenes_40m,2a1-v2x-vit,0,0,0,0,0.41,0.651,0.197,0.248,2.821,0.502,1.175,0.543,0.846,11438,0.458,0.655,34,56,64,6195,954,5226,17,120,5.58,12.49
50scenes_40m,2a2-where2comm,0,0,0,0,0.345,0.513,0.148,0.223,2.992,0.413,1.228,0.477,0.769,11438,0.366,0.576,27,70,84.4,5446,1257,5977,15,78,3.97,14.36
50scenes_40m,2b1-cooptrack,0,0,0,0,0.396,0.544,0.16,0.21,2.886,0.446,1.16,0.451,0.822,11438,0.37,0.538,27,77,61.6,5150,918,6280,8,67,5.97,12.91
